,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost
301,0,8,0,2,7,900,1515,1207.5
302,0,13,0,2,7,590,866,728
303,0,11,0,4,9,749,1319,1034
304,0,11,0,2,9,725,2499,1612
305,0,9,0,2,7,1595,1595,1595
306,0,13,0,2,7,863,1390,1126.5
307,0,9,0,2,8,895,1285,1090
308,0,0,0,4,9,709,925,817
309,0,13,0,2,7,865,1780,1322.5
310,0,0,0,6,9,710,770,740
311,0,0,0,2,8,1150,1950,1550
312,0,0,0,4,9,675,795,735
313,0,7,0,1,4,799,1670,1234.5
314,0,5,0,2,8,510,900,705
315,0,11,0,4,9,340,560,450
316,0,0,1,4,9,475,625,550
317,0,6,1,2,7,870,1015,942.5
318,0,2,1,2,8,550,824,687
319,0,13,0,2,8,1040,1495,1267.5
320,0,11,0,2,9,724,1619,1171.5
321,0,13,0,2,8,980,1515,1247.5
322,0,2,0,8,9,2380,2380,2380
323,0,5,0,2,7,585,665,625
324,0,13,1,2,7,550,981,765.5
325,0,3,0,4,8,1850,2775,2312.5
326,0,8,0,2,7,900,1515,1207.5
327,0,13,0,2,7,590,866,728
328,0,11,0,4,9,749,1319,1034
329,0,11,0,2,9,725,2499,1612
330,0,9,0,2,7,1595,1595,1595
331,0,13,0,2,7,863,1390,1126.5
332,0,9,0,2,8,895,1285,1090
333,0,0,0,4,9,709,925,817
334,0,13,0,2,7,865,1780,1322.5
335,0,0,0,6,9,710,770,740
336,0,0,0,2,8,1150,1950,1550
337,0,0,0,4,9,675,795,735
338,0,7,0,1,4,799,1670,1234.5
339,0,5,0,2,8,510,900,705
340,0,11,0,4,9,340,560,450
341,0,0,1,4,9,475,625,550
342,0,6,1,2,7,870,1015,942.5
343,0,2,1,2,8,550,824,687
344,0,13,0,2,8,1040,1495,1267.5
345,0,11,0,2,9,724,1619,1171.5
346,0,13,0,2,8,980,1515,1247.5
347,0,2,0,8,9,2380,2380,2380
348,0,5,0,2,7,585,665,625
349,0,13,1,2,7,550,981,765.5
350,0,3,0,4,8,1850,2775,2312.5
351,0,8,0,2,7,900,1515,1207.5
352,0,13,0,2,7,590,866,728
353,0,11,0,4,9,749,1319,1034
354,0,11,0,2,9,725,2499,1612
355,0,9,0,2,7,1595,1595,1595
356,0,13,0,2,7,863,1390,1126.5
357,0,9,0,2,8,895,1285,1090
358,0,0,0,4,9,709,925,817
359,0,13,0,2,7,865,1780,1322.5
360,0,0,0,6,9,710,770,740
361,0,0,0,2,8,1150,1950,1550
362,0,0,0,4,9,675,795,735
363,0,7,0,1,4,799,1670,1234.5
364,0,5,0,2,8,510,900,705
365,0,11,0,4,9,340,560,450
366,0,0,1,4,9,475,625,550
367,0,6,1,2,7,870,1015,942.5
368,0,2,1,2,8,550,824,687
369,0,13,0,2,8,1040,1495,1267.5
370,0,11,0,2,9,724,1619,1171.5
371,0,13,0,2,8,980,1515,1247.5
372,0,2,0,8,9,2380,2380,2380
373,0,5,0,2,7,585,665,625
374,0,13,1,2,7,550,981,765.5
375,0,3,0,4,8,1850,2775,2312.5
376,0,8,0,2,7,900,1515,1207.5
377,0,13,0,2,7,590,866,728
378,0,11,0,4,9,749,1319,1034
379,0,11,0,2,9,725,2499,1612
380,0,9,0,2,7,1595,1595,1595
381,0,13,0,2,7,863,1390,1126.5
382,0,9,0,2,8,895,1285,1090
383,0,0,0,4,9,709,925,817
384,0,13,0,2,7,865,1780,1322.5
385,0,0,0,6,9,710,770,740
386,0,0,0,2,8,1150,1950,1550
387,0,0,0,4,9,675,795,735
388,0,7,0,1,4,799,1670,1234.5
389,0,5,0,2,8,510,900,705
390,0,11,0,4,9,340,560,450
391,0,0,1,4,9,475,625,550
392,0,6,1,2,7,870,1015,942.5
393,0,2,1,2,8,550,824,687
394,0,13,0,2,8,1040,1495,1267.5
395,0,11,0,2,9,724,1619,1171.5
396,0,13,0,2,8,980,1515,1247.5
397,0,2,0,8,9,2380,2380,2380
398,0,5,0,2,7,585,665,625
399,0,13,1,2,7,550,981,765.5
400,0,3,0,4,8,1850,2775,2312.5
401,0,8,0,2,7,900,1515,1207.5
402,0,13,0,2,7,590,866,728
403,0,11,0,4,9,749,1319,1034
404,0,11,0,2,9,725,2499,1612
405,0,9,0,2,7,1595,1595,1595
406,0,13,0,2,7,863,1390,1126.5
407,0,9,0,2,8,895,1285,1090
408,0,0,0,4,9,709,925,817
409,0,13,0,2,7,865,1780,1322.5
410,0,0,0,6,9,710,770,740
411,0,0,0,2,8,1150,1950,1550
412,0,0,0,4,9,675,795,735
413,0,7,0,1,4,799,1670,1234.5
414,0,5,0,2,8,510,900,705
415,0,11,0,4,9,340,560,450
416,0,0,1,4,9,475,625,550
417,0,6,1,2,7,870,1015,942.5
418,0,2,1,2,8,550,824,687
419,0,13,0,2,8,1040,1495,1267.5
420,0,11,0,2,9,724,1619,1171.5
421,0,13,0,2,8,980,1515,1247.5
422,0,2,0,8,9,2380,2380,2380
423,0,5,0,2,7,585,665,625
424,0,13,1,2,7,550,981,765.5
425,0,3,0,4,8,1850,2775,2312.5
426,0,8,0,2,7,900,1515,1207.5
427,0,13,0,2,7,590,866,728
428,0,11,0,4,9,749,1319,1034
429,0,11,0,2,9,725,2499,1612
430,0,9,0,2,7,1595,1595,1595
431,0,13,0,2,7,863,1390,1126.5
432,0,9,0,2,8,895,1285,1090
433,0,0,0,4,9,709,925,817
434,0,13,0,2,7,865,1780,1322.5
435,0,0,0,6,9,710,770,740
436,0,0,0,2,8,1150,1950,1550
437,0,0,0,4,9,675,795,735
438,0,7,0,1,4,799,1670,1234.5
439,0,5,0,2,8,510,900,705
440,0,11,0,4,9,340,560,450
441,0,0,1,4,9,475,625,550
442,0,6,1,2,7,870,1015,942.5
443,0,2,1,2,8,550,824,687
444,0,13,0,2,8,1040,1495,1267.5
445,0,11,0,2,9,724,1619,1171.5
446,0,13,0,2,8,980,1515,1247.5
447,0,2,0,8,9,2380,2380,2380
448,0,5,0,2,7,585,665,625
